territorio,anno,indicatore,tipo_reato,codice_reato,valore
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",theft of art objets,ARTTHEF,1.50
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",attacks,ATTACK,1.10
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",attempted homicides,ATTEMPHOM,2.50
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",bag-snatching,BAGTHEF,15.20
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",bank robbery,BANKROB,1.80
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",blows,BLOWS,37.20
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",burglary,BURGTHEF,344.10
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",car theft,CARTHEF,164.40
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",corruption of a minor,CORRUPUN18,0.20
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",counterfeiting of goods and industrial products,COUNTER,10.40
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",criminal association,CRIMASS,1.30
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",culpable injuries,CULPINJU,124.30
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",cybercrime,CYBERCRIM,10.90
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",damages,DAMAGE,989.10
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",damage followed by arson,DAMARS,7.40
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",trafficking and drugs possession,DRUG,66.20
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",extortions,EXTORT,8.70
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",forest arson,FOREARS,1.30
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",house robbery,HOUSEROB,2.30
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",infanticides,INFANTHOM,0.00
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",intentional homicides,INTENHOM,0.50
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",intellectual property violations,INTPROP,3.40
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",kidnappings,KIDNAPP,3.80
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",homicides of mafia,MAFIAHOM,0.00
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",mafia criminal association,MAFIASS,0.00
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",manslaughter,MANSHOM,0.00
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",mass murder,MASSMURD,0.00
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",menaces,MENACE,151.60
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",money laundering,MONEYLAU,1.90
ITC47,2010,"crimes reported by the police forces to the judicial authority (per 100,000 population)",moped theft,MOPETHEF,49.80
